bf_sha,bi_sha
cc5e5a36fa28670e6e6bb1a74eae359a2c6cd8ab,b9183699ba5e4eb2335772077f2b0d8918767fb8
5a48e90100e6fdaa4cee76a1a927679cba0eefd7,6234f8d3da7d38864cf7c8460a23113a51313f01
0c517d163e355f85ca40673db15a991693bc2d4a,aecff50b27d17904a7b9cb6de00df032f01425dd
1aaa1aa08647c357a406ecee42e6b2439c60fb27,0392538775f9590ef9b977ed11f51b1e5dbd8adf
b589da8070870f1ed50f8c50c715962323220ed6,fe71475a594d1023cbbc8a52316413a9f1d823c0
42f866712844648c2c56a0fa869fd3bccbd4ada4,291f3142428888a44ff884e27f21b128d37f2a4a
6ccd59c32bb3c3415ed527792a381052cf4b281f,6cf1ca1f637adc27600a8b1722d0a9b7f65b31a0
1c01e8da2a9d37f885b7693b2e758608c04bd10f,78614963a0396123e0b0594ced458094e97435e8
0988966e5c3a0c5fa3d8574d2fddaf46b0912c42,781654af6044d7c3854d2e9d4ace73999081ba9d
ee299cc0bd0942ef8da2156c36e342a443bb46a0,38a54f39f7ac96ab26c1eda3420362376338ccf8
048ffd924d61e9a7b5e90df207900ad325ad2bbb,c5cc2672190a2ff04d592fae108d6a6ceaec3e67
62e1deae8f372545fc7c95d9bdd986886f3d7db4,1fede626e2cad16f7bb4d77dd9fc3270a8b6b331
229f24547add9fdf5c7414cf98895bf85f83e9d6,7a6d34e95f66e916e44b844b1ce6551ba8169539
b6e661e24a3f5993ba24df9819e61f8ed028a115,75cf4c522f41e6dfcbac89a2905498085d7f728e
206d17bfcf88de17878895c0786a22efa420ca47,80671afcbf5802e3340c65ebda7e7bdf9bec75af
b6e661e24a3f5993ba24df9819e61f8ed028a115,939b122c09432e54083d751469c56ad48aff9fb6
ef204040c208c6250fda950dfbca58ea187619ad,09a77eeae3b1e25244490f0c93dc159314a872f9
fd15719a4ba9863172ed7a8286662caf2b7f9e21,5018dfaa88189d72909b45ccde5cd722ed2bae10
d1b0d0fd6d376a381a0e7b6fd0f87b5222a86c69,1fede626e2cad16f7bb4d77dd9fc3270a8b6b331
fbb7e1208aaa9c9462a00766e26e5147e4ab44f1,1f37b7725c30b6dde445598f24d30841fba87535
71519b08080107dae13867c760f224a2cde54b5b,89b296fd544c25a36d0abb11f6cd0b6333542068
f74c5d7a69fb3dda67fb26c1c0250d48e29fe359,c20a2b254f46c4c50aed12b924660602d57c56ba
5232b727949d00add9cb61e153cbbcdc9e13c769,7b91f912736827bfa84787a725889889a5ba90f7
c0ad7b61a7ad75b66b312e1c518390862d88b4a4,a99ea6218f5898e37e8a6965f812976bd3362b7e
85ba2eada3ffc4eeba3ed8e913ccfee560d6b006,7a6d34e95f66e916e44b844b1ce6551ba8169539
b6e661e24a3f5993ba24df9819e61f8ed028a115,b8bb8404a9c1da1dd22ac8b414f7496ee033acbd
08d94d75d68742fce002f65583844e5bb253b12e,7a6d34e95f66e916e44b844b1ce6551ba8169539
0c37fc6e5744a8d84d9d343ac29323844f682b6e,96dd926f4ae1073067637009ed88cbe2a103e1fb
f7568decb957ebcf656c977fcdac4f85914962ce,7524219f6a3291c382287b41db5dcd72cb35a995
