bf_sha,bi_sha
39ad0d5d3e4a0d89b837b84d3e8f2f2bf33e88af,6a71cdd00e2c8e026946a52fb475025b660b5930
bcfc87cd8c6076ecc5606ee7c249d93455492760,f2f0e1b55f0133ec24a5de486e7ca47fb50a259a
4fb5a9e0630bca3d70fa09a9a18e571e39a50e4b,49d303ab0b77c20a5113d1a3f8726816c239f89d
e9f6eaff2e23fe9fd65552216e77c78d7ed3fab5,c05f77fa4725e9e09d278d56f864921ff58bb68b
60bf0ba644b3d091c6a4816b6181fa43d8e837c8,34525407cefd923fcfb02b742fa8a6b31889e8f9
c1188c19902e44e9d9af5c4314102897ff46fef5,d2c95e448ef0ac22d457464331c2c426fe0ab10b
52be574bbd096beb139b12d6eae6c652b1dc9a35,96a66b27711d68c934bb2a6cd094f2be3039600b
3defc6011124b786c1d2fa827b93365233d36a70,578882cc2a2a4244f17a695ab8ba31646cf53d67
4e433f48c72a30baa6582afb401e07fb66fbaa9f,ef1fbef8ade4a862f1bf624a95aa6a3b09b87393
39cc87a384f0281efdd58eec4c6a51233bfef171,62c9672d6a3ecb6be31d7d41e996f2ccbb79b633
5d5a574d1006b5472d6a266ddb01994e015aa3cf,12a4d698bb46cc04c59c2695c48f931bad7fa699
66c3f113c53739002c6c61092404f6edda9574f5,1894ff3002e438f057a2e01b781ba5b538d6ca2b
fb985a02c1619f1bd221e29966c939031f26862c,3c363a88d277b5ba622f75166be777f23cda60e4
0d725db5bc7671ceb5efd974d7b238292e90d6bf,5fec99a7fdcdf518f683aaa52d62e39e3ae54064
14ddeb6e586f2ff983d77409d9167b9e9108dbf6,e992a7a57c168e14ed3cea222b19eb2594fdd563
3595b7c38e413d197f57dc2455b0c3c131bdcff4,14678063087fc4ee44c227828008c6d9281bf857
f343a04c2593f14d1e70daac3b0a4b877cbf0840,d309c8839c1095a9bb69b8692b288ccf78d96a0a
22d548f5362bdbe2cb948f1e0b3868978607e7d0,5c0ff270140f4cf1b6578792219f710fd627003c
aafb5ef391157acfcbf3a65802140c7020989426,d3d57306208e1754c5f927918209114f2ba9aa78
6d4b3b92b0d4cba6b0b4819d188d67408ee1fc02,aea8ce618d8a0bc7df14485173546dec038cb9c1
3aba107a782ea52286bbe9a62eab263a623382ab,bd6a14be7a500b5098d10cca4d25cd34d2973bf9
84e56233b3b605b96a31d7b92864644e2b22ac55,074c2005746920d8714cdb6292869bc9cd274642
1bf34b689c2e78e908c951b7a1547c20a7839e2e,6386f4ce8c1d2f99cf109dcb5974873d9a26f306
6a383865eadb16b922859c79ba7f3e92a030aeac,e1ddff34a0cc3d72e7940649110ebdab7ebe3a46
46dc3475f593f807256878dc5cb75dcd598cb6d6,fe7460124f310f51a1dd18e51eec5723d44a03a1
