bf_sha,bi_sha
1ba83ee5c62b8bbff03de672f737dd6c6965e800,9e5cdd76aff32bf7c5cc5868a8720548c515de07
1c995a4222a80185ebf3726f194b2e7ab6f4eb54,b2098dd206b9673bbd4df5d8d989c475e778e957
011f66c4c90e52196a321a0b53e9851d13936e4b,4cd1acbf9a610ce248d55ac1432aa4566eafba4b
f28ced83e423f4312f54a81df2006dfbe99ad702,9081666d1a433f1bfa8321b2a78c2ffe80749f62
07d5ca8e3dcb58e6fafc54553406f962e6b1e49c,446caf8a5cfc42d44fe69b373bf4af0d99adc299
d2b6d1824303c4b53cc5ab399a257c3d16b1a056,d0c31df798a97c700d9aa07d17d5733bfa877f50
2adee3e8bb1508f75a65ee7886f59ccc53e1d031,1f821cfae27792bd082aecd09a785612a55a9720
17785a734357aa708894c45a1ccf601861625958,cfb97f596f8fd6d99780b038095713b491b4904e
ce744196eb0fa15a2ff34d86480683c80e89e27c,2c99e3c1e43e60e34bf44b51705770660d1ff3e5
1d9f1dcda8e104f9260abe91c6d37a98e297b5fb,7048891ca6f4d1ba71ac513df8b9b2732fe4e22c
b35873afd4b0d876e681be28d27505ea50472a59,986728a72652e13b9fca6db23753e55042201902
6d87ef59f25e863d0f83e2ecf090320592944c5d,b5411c32d334aa3ae2039365791178e0d2038d32
95e68bb639a539e8c43e5521294cb6d88052f0c7,6efaea259dbb9a02b5db186ef23a57b0456e5b24
5c875a20452c75fbfdc4e6676989a71f80ca139d,9197bfcfb8c5aad51a0020706b4ac70b53e26fa4
35d25ad81b906b4d1c3d2791ae76371d32f7fd3d,922bd0c8404d304734940d89b29c70d579dbad7a
6f5988bc89f91b545dca05029035648d6173d00c,816420346d8a3e8a9ce45e746e1922eb294f1062
bc4a871eb9a0406f505d3db8924b4c84a15ff7a3,a283939750ceb890d6e27b67199e90d3f19e49e2
104ed7ebc59f5ba368429898177778abc9225595,966dd5942aefb33ee1048fb03dca2eee31258aa3
11b4671910aceb77d4d0487bfe0a3d59015ed4b6,6e1e28cd50da42965adeac430436eba731301e11
11b4671910aceb77d4d0487bfe0a3d59015ed4b6,b79c8d5f1fa066f668c756d4f181f73725d365c3
8b218941dbc15910286b8263a117384d6d16893a,985510595aafb42ed602f84988f09a0898ff81c3
c07b8abaa15b58bb9862b064681039315b8fa5af,332558fc73a9f824fe4cd2707cdb8d00a0211934
